description,systemID
"Unexpected element &quot;p&quot;. The content of the parent element type must match &quot;(sec-meta?,label?,title?,(address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|def-list|list|tex-math|mml:math|p|related-article|related-object|disp-quote|speech|statement|verse-group)*,tp:treatment-sec*,tp:nomenclature-citation-list*,(fn-group|glossary|ref-list)*)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
Unexpected element &quot;xref&quot;. The content of the parent element type must match &quot;(tp:taxon-name|tp:nomenclature-citation)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;fig-7--151-250-1890-1914-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;fig-8--151-250-1902-1926-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref17051&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref16313&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref15347&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref15588&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref16584&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref16714&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;fig-14--151-250-1620-1644-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;fig-15--151-250-1909-1933-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;fig-16--151-250-1265-1289-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;fig-18--151-250-1714-1738-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref15498&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref16522&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref17173&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref15191&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref16272&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
An element with the identifier &quot;ref15740&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B603EFFF6FF477213FDCCFDB9_tp.xml
Unexpected element &quot;xref&quot;. The content of the parent element type must match &quot;(tp:taxon-name|tp:nomenclature-citation)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(sec-meta?,label?,title?,(address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|def-list|list|tex-math|mml:math|p|related-article|related-object|disp-quote|speech|statement|verse-group)*,tp:treatment-sec*,tp:nomenclature-citation-list*,(fn-group|glossary|ref-list)*)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;fig-7--151-250-1890-1914-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;fig-9--151-250-1649-1673-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;fig-12--151-250-1789-1813-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;ref17051&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;ref16313&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;ref15347&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;ref17377&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;ref15498&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
An element with the identifier &quot;ref15223&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6024FFE9FF4772FEFED4FE0D_tp.xml
Unexpected element &quot;xref&quot;. The content of the parent element type must match &quot;(tp:taxon-name|tp:nomenclature-citation)&quot;.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(sec-meta?,label?,title?,(address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|def-list|list|tex-math|mml:math|p|related-article|related-object|disp-quote|speech|statement|verse-group)*,tp:treatment-sec*,tp:nomenclature-citation-list*,(fn-group|glossary|ref-list)*)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;fig-7--151-250-1890-1914-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;fig-9--151-250-1649-1673-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;fig-12--151-250-1789-1813-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;ref17051&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;ref17142&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;fig-14--151-250-1620-1644-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;fig-15--151-250-1909-1933-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
An element with the identifier &quot;fig-17--151-250-1262-1286-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6026FFEFFF47731EFD04FB65_tp.xml
"Unexpected element &quot;fig&quot;. The content of the parent element type must match &quot;(sec-meta?,label?,title?,(address|alternatives|array|boxed-text|chem-struct-wrap|code|fig|fig-group|graphic|media|preformat|supplementary-material|table-wrap|table-wrap-group|disp-formula|disp-formula-group|def-list|list|tex-math|mml:math|p|related-article|related-object|disp-quote|speech|statement|verse-group)*,tp:treatment-sec*,tp:nomenclature-citation-list*,(fn-group|glossary|ref-list)*)&quot;.",C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-18--151-250-1714-1738-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;ref16313&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-12--151-250-1789-1813-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-15--151-250-1909-1933-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-16--151-250-1265-1289-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-17--151-250-1262-1286-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;fig-19--151-250-1454-1478-&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;ref15740&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;ref15498&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;ref15223&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
An element with the identifier &quot;ref15347&quot; must appear in the document.,C:\Users\Terry\Github\ggxml2taxpub-treatments\intermediate\0F3DD06B6032FFF1FF477305FD88F9A9_tp.xml
